,Unnamed: 0,Country,Year,Month,Pollutant,GHG,Element,Temperature
16068,16146,Italy,2002,July,Carbon dioxide,476251.236,Temperature change,0.9229999999999999
16070,16148,Italy,2002,August,Carbon dioxide,476251.236,Temperature change,0.33899999999999997
16072,16150,Italy,2002,September,Carbon dioxide,476251.236,Temperature change,-0.633
16074,16152,Italy,2002,October,Carbon dioxide,476251.236,Temperature change,0.828
16076,16154,Italy,2002,November,Carbon dioxide,476251.236,Temperature change,2.3569999999999998
16078,16156,Italy,2002,December,Carbon dioxide,476251.236,Temperature change,1.3030000000000002
16080,16158,Italy,2003,January,Carbon dioxide,494183.287,Temperature change,0.868
16082,16160,Italy,2003,February,Carbon dioxide,494183.287,Temperature change,-2.445
16084,16162,Italy,2003,March,Carbon dioxide,494183.287,Temperature change,0.785
16086,16164,Italy,2003,April,Carbon dioxide,494183.287,Temperature change,0.42700000000000005
16088,16166,Italy,2003,May,Carbon dioxide,494183.287,Temperature change,2.995
16090,16168,Italy,2003,June,Carbon dioxide,494183.287,Temperature change,4.922
16092,16170,Italy,2003,July,Carbon dioxide,494183.287,Temperature change,3.073
16094,16172,Italy,2003,August,Carbon dioxide,494183.287,Temperature change,4.359
16096,16174,Italy,2003,September,Carbon dioxide,494183.287,Temperature change,0.32899999999999996
16098,16176,Italy,2003,October,Carbon dioxide,494183.287,Temperature change,0.054000000000000006
16100,16178,Italy,2003,November,Carbon dioxide,494183.287,Temperature change,1.587
16102,16180,Italy,2003,December,Carbon dioxide,494183.287,Temperature change,0.504
16104,16182,Italy,2004,January,Carbon dioxide,499619.393,Temperature change,-0.016
16106,16184,Italy,2004,February,Carbon dioxide,499619.393,Temperature change,0.674
16108,16186,Italy,2004,March,Carbon dioxide,499619.393,Temperature change,-0.047
16110,16188,Italy,2004,April,Carbon dioxide,499619.393,Temperature change,0.757
16112,16190,Italy,2004,May,Carbon dioxide,499619.393,Temperature change,-0.66
16114,16192,Italy,2004,June,Carbon dioxide,499619.393,Temperature change,1.054
16116,16194,Italy,2004,July,Carbon dioxide,499619.393,Temperature change,1.229
16118,16196,Italy,2004,August,Carbon dioxide,499619.393,Temperature change,1.554
16120,16198,Italy,2004,September,Carbon dioxide,499619.393,Temperature change,0.7909999999999999
16122,16200,Italy,2004,October,Carbon dioxide,499619.393,Temperature change,2.679
16124,16202,Italy,2004,November,Carbon dioxide,499619.393,Temperature change,0.504
16126,16204,Italy,2004,December,Carbon dioxide,499619.393,Temperature change,1.402
16128,16206,Italy,2005,January,Carbon dioxide,500005.676,Temperature change,-0.27399999999999997
16130,16208,Italy,2005,February,Carbon dioxide,500005.676,Temperature change,-2.154
16132,16210,Italy,2005,March,Carbon dioxide,500005.676,Temperature change,0.171
16134,16212,Italy,2005,April,Carbon dioxide,500005.676,Temperature change,0.45
16136,16214,Italy,2005,May,Carbon dioxide,500005.676,Temperature change,2.0380000000000003
16138,16216,Italy,2005,June,Carbon dioxide,500005.676,Temperature change,1.936
16140,16218,Italy,2005,July,Carbon dioxide,500005.676,Temperature change,1.595
16142,16220,Italy,2005,August,Carbon dioxide,500005.676,Temperature change,-0.064
16144,16222,Italy,2005,September,Carbon dioxide,500005.676,Temperature change,0.6859999999999999
16146,16224,Italy,2005,October,Carbon dioxide,500005.676,Temperature change,0.99
16148,16226,Italy,2005,November,Carbon dioxide,500005.676,Temperature change,0.033
16150,16228,Italy,2005,December,Carbon dioxide,500005.676,Temperature change,-1.0170000000000001
16152,16230,Italy,2006,January,Carbon dioxide,495124.198,Temperature change,-0.836
16154,16232,Italy,2006,February,Carbon dioxide,495124.198,Temperature change,-0.201
16156,16234,Italy,2006,March,Carbon dioxide,495124.198,Temperature change,-0.17300000000000001
16158,16236,Italy,2006,April,Carbon dioxide,495124.198,Temperature change,1.729
16160,16238,Italy,2006,May,Carbon dioxide,495124.198,Temperature change,1.62
16162,16240,Italy,2006,June,Carbon dioxide,495124.198,Temperature change,1.395
16164,16242,Italy,2006,July,Carbon dioxide,495124.198,Temperature change,2.745
16166,16244,Italy,2006,August,Carbon dioxide,495124.198,Temperature change,-0.095
16168,16246,Italy,2006,September,Carbon dioxide,495124.198,Temperature change,1.287
16170,16248,Italy,2006,October,Carbon dioxide,495124.198,Temperature change,2.373
16172,16250,Italy,2006,November,Carbon dioxide,495124.198,Temperature change,1.422
16174,16252,Italy,2006,December,Carbon dioxide,495124.198,Temperature change,1.817
16176,16254,Italy,2007,January,Carbon dioxide,487693.306,Temperature change,3.1010000000000004
16178,16256,Italy,2007,February,Carbon dioxide,487693.306,Temperature change,2.495
16180,16258,Italy,2007,March,Carbon dioxide,487693.306,Temperature change,1.632
16182,16260,Italy,2007,April,Carbon dioxide,487693.306,Temperature change,3.1660000000000004
16184,16262,Italy,2007,May,Carbon dioxide,487693.306,Temperature change,2.194
16186,16264,Italy,2007,June,Carbon dioxide,487693.306,Temperature change,1.946
16188,16266,Italy,2007,July,Carbon dioxide,487693.306,Temperature change,1.777
16190,16268,Italy,2007,August,Carbon dioxide,487693.306,Temperature change,1.117
16192,16270,Italy,2007,September,Carbon dioxide,487693.306,Temperature change,-0.379
16194,16272,Italy,2007,October,Carbon dioxide,487693.306,Temperature change,0.317
16196,16274,Italy,2007,November,Carbon dioxide,487693.306,Temperature change,-0.499
16198,16276,Italy,2007,December,Carbon dioxide,487693.306,Temperature change,-0.38299999999999995
16200,16278,Italy,2008,January,Carbon dioxide,476229.971,Temperature change,2.105
16202,16280,Italy,2008,February,Carbon dioxide,476229.971,Temperature change,0.99
16204,16282,Italy,2008,March,Carbon dioxide,476229.971,Temperature change,1.023
16206,16284,Italy,2008,April,Carbon dioxide,476229.971,Temperature change,1.053
16208,16286,Italy,2008,May,Carbon dioxide,476229.971,Temperature change,1.635
16210,16288,Italy,2008,June,Carbon dioxide,476229.971,Temperature change,1.611
16212,16290,Italy,2008,July,Carbon dioxide,476229.971,Temperature change,1.4680000000000002
16214,16292,Italy,2008,August,Carbon dioxide,476229.971,Temperature change,1.8119999999999998
16216,16294,Italy,2008,September,Carbon dioxide,476229.971,Temperature change,-0.087
16218,16296,Italy,2008,October,Carbon dioxide,476229.971,Temperature change,1.4569999999999999
16220,16298,Italy,2008,November,Carbon dioxide,476229.971,Temperature change,0.9390000000000001
16222,16300,Italy,2008,December,Carbon dioxide,476229.971,Temperature change,0.315
16224,16302,Italy,2009,January,Carbon dioxide,422624.187,Temperature change,0.6509999999999999
16226,16304,Italy,2009,February,Carbon dioxide,422624.187,Temperature change,-0.47700000000000004
16228,16306,Italy,2009,March,Carbon dioxide,422624.187,Temperature change,0.6940000000000001
16230,16308,Italy,2009,April,Carbon dioxide,422624.187,Temperature change,1.84
16232,16310,Italy,2009,May,Carbon dioxide,422624.187,Temperature change,2.9530000000000003
16234,16312,Italy,2009,June,Carbon dioxide,422624.187,Temperature change,1.261
16236,16314,Italy,2009,July,Carbon dioxide,422624.187,Temperature change,1.837
16238,16316,Italy,2009,August,Carbon dioxide,422624.187,Temperature change,2.8089999999999997
16240,16318,Italy,2009,September,Carbon dioxide,422624.187,Temperature change,1.5119999999999998
16242,16320,Italy,2009,October,Carbon dioxide,422624.187,Temperature change,0.218
16244,16322,Italy,2009,November,Carbon dioxide,422624.187,Temperature change,1.3630000000000002
16246,16324,Italy,2009,December,Carbon dioxide,422624.187,Temperature change,0.722
16248,16326,Italy,2010,January,Carbon dioxide,433688.024,Temperature change,-0.091
16250,16328,Italy,2010,February,Carbon dioxide,433688.024,Temperature change,0.45
16252,16330,Italy,2010,March,Carbon dioxide,433688.024,Temperature change,0.516
16254,16332,Italy,2010,April,Carbon dioxide,433688.024,Temperature change,1.485
16256,16334,Italy,2010,May,Carbon dioxide,433688.024,Temperature change,0.527
16258,16336,Italy,2010,June,Carbon dioxide,433688.024,Temperature change,1.033
16260,16338,Italy,2010,July,Carbon dioxide,433688.024,Temperature change,2.426
16262,16340,Italy,2010,August,Carbon dioxide,433688.024,Temperature change,1.089
16264,16342,Italy,2010,September,Carbon dioxide,433688.024,Temperature change,-0.075
16266,16344,Italy,2010,October,Carbon dioxide,433688.024,Temperature change,-0.034
16268,16346,Italy,2010,November,Carbon dioxide,433688.024,Temperature change,1.2429999999999999
16270,16348,Italy,2010,December,Carbon dioxide,433688.024,Temperature change,-0.395
16272,16350,Italy,2011,January,Carbon dioxide,422039.475,Temperature change,0.934
16274,16352,Italy,2011,February,Carbon dioxide,422039.475,Temperature change,0.7120000000000001
16276,16354,Italy,2011,March,Carbon dioxide,422039.475,Temperature change,0.898
16278,16356,Italy,2011,April,Carbon dioxide,422039.475,Temperature change,2.496
16280,16358,Italy,2011,May,Carbon dioxide,422039.475,Temperature change,1.649
16282,16360,Italy,2011,June,Carbon dioxide,422039.475,Temperature change,1.501
16284,16362,Italy,2011,July,Carbon dioxide,422039.475,Temperature change,0.625
16286,16364,Italy,2011,August,Carbon dioxide,422039.475,Temperature change,2.096
16288,16366,Italy,2011,September,Carbon dioxide,422039.475,Temperature change,2.6860000000000004
16290,16368,Italy,2011,October,Carbon dioxide,422039.475,Temperature change,0.599
16292,16370,Italy,2011,November,Carbon dioxide,422039.475,Temperature change,1.2670000000000001
16294,16372,Italy,2011,December,Carbon dioxide,422039.475,Temperature change,1.436
16296,16374,Italy,2012,January,Carbon dioxide,401554.709,Temperature change,0.65
16298,16376,Italy,2012,February,Carbon dioxide,401554.709,Temperature change,-2.454
16300,16378,Italy,2012,March,Carbon dioxide,401554.709,Temperature change,2.539
16302,16380,Italy,2012,April,Carbon dioxide,401554.709,Temperature change,1.258
16304,16382,Italy,2012,May,Carbon dioxide,401554.709,Temperature change,0.934
16306,16384,Italy,2012,June,Carbon dioxide,401554.709,Temperature change,2.889
16308,16386,Italy,2012,July,Carbon dioxide,401554.709,Temperature change,2.595
16310,16388,Italy,2012,August,Carbon dioxide,401554.709,Temperature change,3.18
16312,16390,Italy,2012,September,Carbon dioxide,401554.709,Temperature change,1.247
16314,16392,Italy,2012,October,Carbon dioxide,401554.709,Temperature change,1.92
16316,16394,Italy,2012,November,Carbon dioxide,401554.709,Temperature change,2.434
16318,16396,Italy,2012,December,Carbon dioxide,401554.709,Temperature change,-0.08199999999999999
16320,16398,Italy,2013,January,Carbon dioxide,367568.71200000006,Temperature change,1.157
16322,16400,Italy,2013,February,Carbon dioxide,367568.71200000006,Temperature change,-1.025
16324,16402,Italy,2013,March,Carbon dioxide,367568.71200000006,Temperature change,0.5760000000000001
16326,16404,Italy,2013,April,Carbon dioxide,367568.71200000006,Temperature change,2.04
16328,16406,Italy,2013,May,Carbon dioxide,367568.71200000006,Temperature change,0.41600000000000004
16330,16408,Italy,2013,June,Carbon dioxide,367568.71200000006,Temperature change,0.541
16332,16410,Italy,2013,July,Carbon dioxide,367568.71200000006,Temperature change,1.835
16334,16412,Italy,2013,August,Carbon dioxide,367568.71200000006,Temperature change,2.07
16336,16414,Italy,2013,September,Carbon dioxide,367568.71200000006,Temperature change,1.07
16338,16416,Italy,2013,October,Carbon dioxide,367568.71200000006,Temperature change,2.5180000000000002
16340,16418,Italy,2013,November,Carbon dioxide,367568.71200000006,Temperature change,1.068
16342,16420,Italy,2013,December,Carbon dioxide,367568.71200000006,Temperature change,1.193
16344,16422,Italy,2014,January,Carbon dioxide,347860.804,Temperature change,2.964
16346,16424,Italy,2014,February,Carbon dioxide,347860.804,Temperature change,2.7680000000000002
16348,16426,Italy,2014,March,Carbon dioxide,347860.804,Temperature change,1.796
16350,16428,Italy,2014,April,Carbon dioxide,347860.804,Temperature change,1.847
16352,16430,Italy,2014,May,Carbon dioxide,347860.804,Temperature change,0.326
16354,16432,Italy,2014,June,Carbon dioxide,347860.804,Temperature change,1.6380000000000001
16356,16434,Italy,2014,July,Carbon dioxide,347860.804,Temperature change,0.11800000000000001
16358,16436,Italy,2014,August,Carbon dioxide,347860.804,Temperature change,0.688
16360,16438,Italy,2014,September,Carbon dioxide,347860.804,Temperature change,0.968
16362,16440,Italy,2014,October,Carbon dioxide,347860.804,Temperature change,2.411
16364,16442,Italy,2014,November,Carbon dioxide,347860.804,Temperature change,3.216
16366,16444,Italy,2014,December,Carbon dioxide,347860.804,Temperature change,1.624
16368,16446,Italy,2015,January,Carbon dioxide,360088.178,Temperature change,1.57
16370,16448,Italy,2015,February,Carbon dioxide,360088.178,Temperature change,0.166
16372,16450,Italy,2015,March,Carbon dioxide,360088.178,Temperature change,1.208
16374,16452,Italy,2015,April,Carbon dioxide,360088.178,Temperature change,1.368
16376,16454,Italy,2015,May,Carbon dioxide,360088.178,Temperature change,2.164
16378,16456,Italy,2015,June,Carbon dioxide,360088.178,Temperature change,2.128
16380,16458,Italy,2015,July,Carbon dioxide,360088.178,Temperature change,3.98
16382,16460,Italy,2015,August,Carbon dioxide,360088.178,Temperature change,2.394
16384,16462,Italy,2015,September,Carbon dioxide,360088.178,Temperature change,1.2830000000000001
16386,16464,Italy,2015,October,Carbon dioxide,360088.178,Temperature change,1.056
16388,16466,Italy,2015,November,Carbon dioxide,360088.178,Temperature change,1.984
16390,16468,Italy,2015,December,Carbon dioxide,360088.178,Temperature change,2.235
16392,16470,Italy,2016,January,Carbon dioxide,356556.196,Temperature change,2.017
16394,16472,Italy,2016,February,Carbon dioxide,356556.196,Temperature change,3.01
16396,16474,Italy,2016,March,Carbon dioxide,356556.196,Temperature change,1.166
16398,16476,Italy,2016,April,Carbon dioxide,356556.196,Temperature change,2.8080000000000003
16400,16478,Italy,2016,May,Carbon dioxide,356556.196,Temperature change,0.6
16402,16480,Italy,2016,June,Carbon dioxide,356556.196,Temperature change,1.379
16404,16482,Italy,2016,July,Carbon dioxide,356556.196,Temperature change,2.136
16406,16484,Italy,2016,August,Carbon dioxide,356556.196,Temperature change,1.284
16408,16486,Italy,2016,September,Carbon dioxide,356556.196,Temperature change,1.594
16410,16488,Italy,2016,October,Carbon dioxide,356556.196,Temperature change,1.207
16412,16490,Italy,2016,November,Carbon dioxide,356556.196,Temperature change,1.395
16414,16492,Italy,2016,December,Carbon dioxide,356556.196,Temperature change,1.092
16416,16494,Italy,2017,January,Carbon dioxide,351473.933,Temperature change,-1.175
16418,16496,Italy,2017,February,Carbon dioxide,351473.933,Temperature change,2.483
16420,16498,Italy,2017,March,Carbon dioxide,351473.933,Temperature change,2.7760000000000002
16422,16500,Italy,2017,April,Carbon dioxide,351473.933,Temperature change,1.5519999999999998
16424,16502,Italy,2017,May,Carbon dioxide,351473.933,Temperature change,1.992
16426,16504,Italy,2017,June,Carbon dioxide,351473.933,Temperature change,3.537
16428,16506,Italy,2017,July,Carbon dioxide,351473.933,Temperature change,2.3
16430,16508,Italy,2017,August,Carbon dioxide,351473.933,Temperature change,3.262
16432,16510,Italy,2017,September,Carbon dioxide,351473.933,Temperature change,-0.14800000000000002
16434,16512,Italy,2017,October,Carbon dioxide,351473.933,Temperature change,1.4580000000000002
16436,16514,Italy,2017,November,Carbon dioxide,351473.933,Temperature change,0.34299999999999997
16438,16516,Italy,2017,December,Carbon dioxide,351473.933,Temperature change,-0.155
16440,16518,Italy,2018,January,Carbon dioxide,348085.029,Temperature change,3.068
16442,16520,Italy,2018,February,Carbon dioxide,348085.029,Temperature change,-0.845
16444,16522,Italy,2018,March,Carbon dioxide,348085.029,Temperature change,0.6509999999999999
16446,16524,Italy,2018,April,Carbon dioxide,348085.029,Temperature change,3.717
16448,16526,Italy,2018,May,Carbon dioxide,348085.029,Temperature change,2.315
16450,16528,Italy,2018,June,Carbon dioxide,348085.029,Temperature change,2.008
16452,16530,Italy,2018,July,Carbon dioxide,348085.029,Temperature change,2.467
16454,16532,Italy,2018,August,Carbon dioxide,348085.029,Temperature change,2.394
16456,16534,Italy,2018,September,Carbon dioxide,348085.029,Temperature change,2.129
16458,16536,Italy,2018,October,Carbon dioxide,348085.029,Temperature change,2.2969999999999997
16460,16538,Italy,2018,November,Carbon dioxide,348085.029,Temperature change,2.065
16462,16540,Italy,2018,December,Carbon dioxide,348085.029,Temperature change,1.183
16464,16542,Italy,1990,January,Methane,48247.489,Temperature change,0.8290000000000001
16466,16544,Italy,1990,February,Methane,48247.489,Temperature change,3.1310000000000002
16468,16546,Italy,1990,March,Methane,48247.489,Temperature change,2.108
16470,16548,Italy,1990,April,Methane,48247.489,Temperature change,-0.121
16472,16550,Italy,1990,May,Methane,48247.489,Temperature change,1.183
16474,16552,Italy,1990,June,Methane,48247.489,Temperature change,0.5539999999999999
16476,16554,Italy,1990,July,Methane,48247.489,Temperature change,0.85
16478,16556,Italy,1990,August,Methane,48247.489,Temperature change,0.705
16480,16558,Italy,1990,September,Methane,48247.489,Temperature change,0.43799999999999994
16482,16560,Italy,1990,October,Methane,48247.489,Temperature change,2.338
16484,16562,Italy,1990,November,Methane,48247.489,Temperature change,0.361
16486,16564,Italy,1990,December,Methane,48247.489,Temperature change,-1.5619999999999998
16488,16566,Italy,1991,January,Methane,49126.548,Temperature change,0.428
16490,16568,Italy,1991,February,Methane,49126.548,Temperature change,-1.429
16492,16570,Italy,1991,March,Methane,49126.548,Temperature change,2.423
16494,16572,Italy,1991,April,Methane,49126.548,Temperature change,-1.041
16496,16574,Italy,1991,May,Methane,49126.548,Temperature change,-2.531
16498,16576,Italy,1991,June,Methane,49126.548,Temperature change,-0.053
16500,16578,Italy,1991,July,Methane,49126.548,Temperature change,1.238
16502,16580,Italy,1991,August,Methane,49126.548,Temperature change,1.493
16504,16582,Italy,1991,September,Methane,49126.548,Temperature change,1.6869999999999998
16506,16584,Italy,1991,October,Methane,49126.548,Temperature change,-0.1
16508,16586,Italy,1991,November,Methane,49126.548,Temperature change,-0.41
16510,16588,Italy,1991,December,Methane,49126.548,Temperature change,-1.963
16512,16590,Italy,1992,January,Methane,48977.048,Temperature change,0.27399999999999997
16514,16592,Italy,1992,February,Methane,48977.048,Temperature change,0.111
16516,16594,Italy,1992,March,Methane,48977.048,Temperature change,0.627
16518,16596,Italy,1992,April,Methane,48977.048,Temperature change,0.532
16520,16598,Italy,1992,May,Methane,48977.048,Temperature change,1.24
16522,16600,Italy,1992,June,Methane,48977.048,Temperature change,-0.45399999999999996
16524,16602,Italy,1992,July,Methane,48977.048,Temperature change,0.081
16526,16604,Italy,1992,August,Methane,48977.048,Temperature change,2.675
16528,16606,Italy,1992,September,Methane,48977.048,Temperature change,0.8170000000000001
16530,16608,Italy,1992,October,Methane,48977.048,Temperature change,0.619
16532,16610,Italy,1992,November,Methane,48977.048,Temperature change,1.709
16534,16612,Italy,1992,December,Methane,48977.048,Temperature change,0.418
16536,16614,Italy,1993,January,Methane,49283.525,Temperature change,0.8859999999999999
16538,16616,Italy,1993,February,Methane,49283.525,Temperature change,-0.892
16540,16618,Italy,1993,March,Methane,49283.525,Temperature change,-0.65
16542,16620,Italy,1993,April,Methane,49283.525,Temperature change,0.743
16544,16622,Italy,1993,May,Methane,49283.525,Temperature change,1.6769999999999998
16546,16624,Italy,1993,June,Methane,49283.525,Temperature change,1.4609999999999999
16548,16626,Italy,1993,July,Methane,49283.525,Temperature change,0.042
16550,16628,Italy,1993,August,Methane,49283.525,Temperature change,1.9669999999999999
16552,16630,Italy,1993,September,Methane,49283.525,Temperature change,0.128
16554,16632,Italy,1993,October,Methane,49283.525,Temperature change,0.9740000000000001
16556,16634,Italy,1993,November,Methane,49283.525,Temperature change,-0.76
16558,16636,Italy,1993,December,Methane,49283.525,Temperature change,1.2329999999999999
16560,16638,Italy,1994,January,Methane,49708.607,Temperature change,1.804
16562,16640,Italy,1994,February,Methane,49708.607,Temperature change,0.222
16564,16642,Italy,1994,March,Methane,49708.607,Temperature change,3.011
16566,16644,Italy,1994,April,Methane,49708.607,Temperature change,-0.13699999999999998
16568,16646,Italy,1994,May,Methane,49708.607,Temperature change,1.508
16570,16648,Italy,1994,June,Methane,49708.607,Temperature change,0.6970000000000001
16572,16650,Italy,1994,July,Methane,49708.607,Temperature change,2.249
16574,16652,Italy,1994,August,Methane,49708.607,Temperature change,3.22
16576,16654,Italy,1994,September,Methane,49708.607,Temperature change,1.3319999999999999
16578,16656,Italy,1994,October,Methane,49708.607,Temperature change,0.653
16580,16658,Italy,1994,November,Methane,49708.607,Temperature change,2.106
16582,16660,Italy,1994,December,Methane,49708.607,Temperature change,1.156
16584,16662,Italy,1995,January,Methane,50325.843,Temperature change,-0.155
16586,16664,Italy,1995,February,Methane,50325.843,Temperature change,2.325
16588,16666,Italy,1995,March,Methane,50325.843,Temperature change,-0.494
16590,16668,Italy,1995,April,Methane,50325.843,Temperature change,0.106
16592,16670,Italy,1995,May,Methane,50325.843,Temperature change,0.33399999999999996
16594,16672,Italy,1995,June,Methane,50325.843,Temperature change,-0.478
16596,16674,Italy,1995,July,Methane,50325.843,Temperature change,2.001
16598,16676,Italy,1995,August,Methane,50325.843,Temperature change,0.221
16600,16678,Italy,1995,September,Methane,50325.843,Temperature change,-1.104
16602,16680,Italy,1995,October,Methane,50325.843,Temperature change,1.4469999999999998
16604,16682,Italy,1995,November,Methane,50325.843,Temperature change,-0.525
16606,16684,Italy,1995,December,Methane,50325.843,Temperature change,1.052
16608,16686,Italy,1996,January,Methane,50816.843,Temperature change,1.7719999999999998
16610,16688,Italy,1996,February,Methane,50816.843,Temperature change,-1.02
16612,16690,Italy,1996,March,Methane,50816.843,Temperature change,-0.8640000000000001
16614,16692,Italy,1996,April,Methane,50816.843,Temperature change,0.758
16616,16694,Italy,1996,May,Methane,50816.843,Temperature change,0.804
16618,16696,Italy,1996,June,Methane,50816.843,Temperature change,1.09
16620,16698,Italy,1996,July,Methane,50816.843,Temperature change,-0.001
16622,16700,Italy,1996,August,Methane,50816.843,Temperature change,0.555
16624,16702,Italy,1996,September,Methane,50816.843,Temperature change,-2.088
16626,16704,Italy,1996,October,Methane,50816.843,Temperature change,-0.377
16628,16706,Italy,1996,November,Methane,50816.843,Temperature change,0.968
16630,16708,Italy,1996,December,Methane,50816.843,Temperature change,0.34
16632,16710,Italy,1997,January,Methane,51363.922,Temperature change,1.7269999999999999
16634,16712,Italy,1997,February,Methane,51363.922,Temperature change,1.6880000000000002
16636,16714,Italy,1997,March,Methane,51363.922,Temperature change,1.729
16638,16716,Italy,1997,April,Methane,51363.922,Temperature change,-1.136
16640,16718,Italy,1997,May,Methane,51363.922,Temperature change,1.508
16642,16720,Italy,1997,June,Methane,51363.922,Temperature change,1.35
16644,16722,Italy,1997,July,Methane,51363.922,Temperature change,0.27699999999999997
16646,16724,Italy,1997,August,Methane,51363.922,Temperature change,0.8640000000000001
16648,16726,Italy,1997,September,Methane,51363.922,Temperature change,1.2790000000000001
16650,16728,Italy,1997,October,Methane,51363.922,Temperature change,0.599
16652,16730,Italy,1997,November,Methane,51363.922,Temperature change,0.773
16654,16732,Italy,1997,December,Methane,51363.922,Temperature change,0.821
16656,16734,Italy,1998,January,Methane,50880.46,Temperature change,1.4269999999999998
16658,16736,Italy,1998,February,Methane,50880.46,Temperature change,2.2030000000000003
16660,16738,Italy,1998,March,Methane,50880.46,Temperature change,-0.001
16662,16740,Italy,1998,April,Methane,50880.46,Temperature change,0.9259999999999999
16664,16742,Italy,1998,May,Methane,50880.46,Temperature change,0.847
16666,16744,Italy,1998,June,Methane,50880.46,Temperature change,1.913
16668,16746,Italy,1998,July,Methane,50880.46,Temperature change,1.819
16670,16748,Italy,1998,August,Methane,50880.46,Temperature change,2.1180000000000003
16672,16750,Italy,1998,September,Methane,50880.46,Temperature change,0.006999999999999999
16674,16752,Italy,1998,October,Methane,50880.46,Temperature change,0.5579999999999999
16676,16754,Italy,1998,November,Methane,50880.46,Temperature change,-1.431
16678,16756,Italy,1998,December,Methane,50880.46,Temperature change,-1.088
16680,16758,Italy,1999,January,Methane,50854.02099999999,Temperature change,1.097
16682,16760,Italy,1999,February,Methane,50854.02099999999,Temperature change,-1.126
16684,16762,Italy,1999,March,Methane,50854.02099999999,Temperature change,0.905
16686,16764,Italy,1999,April,Methane,50854.02099999999,Temperature change,0.925
16688,16766,Italy,1999,May,Methane,50854.02099999999,Temperature change,2.3569999999999998
16690,16768,Italy,1999,June,Methane,50854.02099999999,Temperature change,1.409
16692,16770,Italy,1999,July,Methane,50854.02099999999,Temperature change,1.003
16694,16772,Italy,1999,August,Methane,50854.02099999999,Temperature change,2.08
16696,16774,Italy,1999,September,Methane,50854.02099999999,Temperature change,1.705
16698,16776,Italy,1999,October,Methane,50854.02099999999,Temperature change,1.646
16700,16778,Italy,1999,November,Methane,50854.02099999999,Temperature change,-0.228
16702,16780,Italy,1999,December,Methane,50854.02099999999,Temperature change,0.22899999999999998
16704,16782,Italy,2000,January,Methane,50766.137,Temperature change,-0.456
16706,16784,Italy,2000,February,Methane,50766.137,Temperature change,0.963
16708,16786,Italy,2000,March,Methane,50766.137,Temperature change,1.147
16710,16788,Italy,2000,April,Methane,50766.137,Temperature change,1.788
16712,16790,Italy,2000,May,Methane,50766.137,Temperature change,2.775
16714,16792,Italy,2000,June,Methane,50766.137,Temperature change,2.04
16716,16794,Italy,2000,July,Methane,50766.137,Temperature change,0.287
16718,16796,Italy,2000,August,Methane,50766.137,Temperature change,2.064
16720,16798,Italy,2000,September,Methane,50766.137,Temperature change,0.856
16722,16800,Italy,2000,October,Methane,50766.137,Temperature change,1.258
16724,16802,Italy,2000,November,Methane,50766.137,Temperature change,1.6440000000000001
16726,16804,Italy,2000,December,Methane,50766.137,Temperature change,2.108
16728,16806,Italy,2001,January,Methane,50868.639,Temperature change,1.93
16730,16808,Italy,2001,February,Methane,50868.639,Temperature change,1.183
16732,16810,Italy,2001,March,Methane,50868.639,Temperature change,3.466
16734,16812,Italy,2001,April,Methane,50868.639,Temperature change,0.07200000000000001
16736,16814,Italy,2001,May,Methane,50868.639,Temperature change,2.305
16738,16816,Italy,2001,June,Methane,50868.639,Temperature change,0.977
16740,16818,Italy,2001,July,Methane,50868.639,Temperature change,1.4080000000000001
16742,16820,Italy,2001,August,Methane,50868.639,Temperature change,2.383
16744,16822,Italy,2001,September,Methane,50868.639,Temperature change,-0.907
16746,16824,Italy,2001,October,Methane,50868.639,Temperature change,3.306
16748,16826,Italy,2001,November,Methane,50868.639,Temperature change,0.004
16750,16828,Italy,2001,December,Methane,50868.639,Temperature change,-1.964
16752,16830,Italy,2002,January,Methane,49240.052,Temperature change,-0.235
16754,16832,Italy,2002,February,Methane,49240.052,Temperature change,2.315
16756,16834,Italy,2002,March,Methane,49240.052,Temperature change,2.448
16758,16836,Italy,2002,April,Methane,49240.052,Temperature change,0.9109999999999999
16760,16838,Italy,2002,May,Methane,49240.052,Temperature change,1.185
16762,16840,Italy,2002,June,Methane,49240.052,Temperature change,2.51
16764,16842,Italy,2002,July,Methane,49240.052,Temperature change,0.9229999999999999
16766,16844,Italy,2002,August,Methane,49240.052,Temperature change,0.33899999999999997
16768,16846,Italy,2002,September,Methane,49240.052,Temperature change,-0.633
16770,16848,Italy,2002,October,Methane,49240.052,Temperature change,0.828
16772,16850,Italy,2002,November,Methane,49240.052,Temperature change,2.3569999999999998
16774,16852,Italy,2002,December,Methane,49240.052,Temperature change,1.3030000000000002
16776,16854,Italy,2003,January,Methane,49446.208,Temperature change,0.868
16778,16856,Italy,2003,February,Methane,49446.208,Temperature change,-2.445
16780,16858,Italy,2003,March,Methane,49446.208,Temperature change,0.785
16782,16860,Italy,2003,April,Methane,49446.208,Temperature change,0.42700000000000005
16784,16862,Italy,2003,May,Methane,49446.208,Temperature change,2.995
16786,16864,Italy,2003,June,Methane,49446.208,Temperature change,4.922
16788,16866,Italy,2003,July,Methane,49446.208,Temperature change,3.073
16790,16868,Italy,2003,August,Methane,49446.208,Temperature change,4.359
16792,16870,Italy,2003,September,Methane,49446.208,Temperature change,0.32899999999999996
